# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "--primary" "-s" "0" "-t" "gene" "-g" "gene_id" "-a" "/scratch/avannan/refs/rat/mRatBN7.2/Rattus_norvegicus.mRatBN7.2.105.gtf" "-o" "/data/CEM/wilsonlab/projects/rodent_addiction/powell/05_counts/HISAT2_featureCounts/genes/powell_SRS6085261_CI1cue_hisat2_featurecounts_genes.txt" "/data/CEM/wilsonlab/projects/rodent_addiction/powell/04_processing/HISAT2/sorted_bams/powell_SRS6085261_CI1cue_hisat2_trim_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/CEM/wilsonlab/projects/rodent_addiction/powell/04_processing/HISAT2/sorted_bams/powell_SRS6085261_CI1cue_hisat2_trim_sort.bam
ENSRNOG00000062307	1	961223	1074280	-	113058	1
ENSRNOG00000071202	1	39338405	39340487	+	2083	0
ENSRNOG00000068808	1	219869292	219869423	-	132	0
ENSRNOG00000056693	1	227762446	227762607	+	162	0
ENSRNOG00000055223	1	41296869	41296962	-	94	0
ENSRNOG00000064515	1	134304915	134305988	-	1074	544
ENSRNOG00000017930	1	29766071	29816401	-	50331	468
ENSRNOG00000043280	1	93257993	93318667	+	60675	29
ENSRNOG00000065092	1	41167598	41198101	-	30504	6
ENSRNOG00000060826	1	157681873	157682820	+	948	0
ENSRNOG00000066535	1	219771021	219771145	-	125	0
ENSRNOG00000068810	1	209194949	209195890	+	942	0
ENSRNOG00000070274	1	139959173	139964460	-	5288	0
ENSRNOG00000063371	1	134552919	134554585	+	1667	48
ENSRNOG00000060965	1	178691996	178692130	+	135	0
ENSRNOG00000052241	1	41822425	41822528	+	104	0
ENSRNOG00000068809	1	43832779	43855889	+	23111	422
ENSRNOG00000058946	1	175531005	175531140	-	136	0
ENSRNOG00000019869	1	83682964	83761449	+	78486	269
ENSRNOG00000062374	1	135164303	135165593	-	1291	22
ENSRNOG00000068664	1	179035249	179035391	+	143	0
ENSRNOG00000063801	1	1652635	1654869	+	2235	0
ENSRNOG00000067318	1	46061332	46069072	-	7741	159
ENSRNOG00000013208	1	211014005	211014949	-	945	0
ENSRNOG00000059321	1	42211968	42212047	+	80	0
ENSRNOG00000052179	1	175549477	175549618	-	142	0
ENSRNOG00000050189	1	157689725	157690675	+	951	0
ENSRNOG00000067212	1	245039585	245039691	-	107	0
ENSRNOG00000055161	1	42212190	42212259	+	70	0
ENSRNOG00000065356	1	40734	41635	-	902	0
ENSRNOG00000023411	1	93851774	93879566	+	27793	101
ENSRNOG00000046005	1	243169236	243182232	+	12997	31785
ENSRNOG00000054718	1	175567629	175567731	-	103	0
ENSRNOG00000018686	1	181078288	181089686	-	11399	1578
ENSRNOG00000063261	1	135478400	135486425	+	8026	149
ENSRNOG00000068139	1	83689413	83713853	-	24441	0
ENSRNOG00000066980	1	196649599	196649705	-	107	0
ENSRNOG00000070788	1	208715148	208716041	-	894	1
ENSRNOG00000066529	1	175228635	175228731	-	97	0
ENSRNOG00000058906	1	69242321	69285077	+	42757	64
ENSRNOG00000066097	1	25196793	25196899	-	107	0
ENSRNOG00000069563	1	135772095	135773248	-	1154	13
ENSRNOG00000062703	1	252575495	252576028	-	534	1
ENSRNOG00000070309	1	46666641	46682852	-	16212	28
ENSRNOG00000048810	1	157725793	157726740	+	948	0
ENSRNOG00000053089	1	163541736	163541866	+	131	2
ENSRNOG00000057890	1	25445898	25446060	+	163	0
ENSRNOG00000052503	1	197577435	197577542	+	108	0
ENSRNOG00000017408	1	159726004	159748408	-	22405	277
ENSRNOG00000037393	1	87884323	87924695	-	40373	3
ENSRNOG00000021794	1	203354138	203355636	+	1499	37
ENSRNOG00000069938	1	135773388	135774440	-	1053	41
ENSRNOG00000070568	1	76834	358271	+	281438	41
