# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "--primary" "-s" "2" "-t" "gene" "-g" "gene_id" "-a" "/scratch/avannan/refs/mouse/GRCm39/Mus_musculus.GRCm39.105.gtf" "-o" "/data/CEM/wilsonlab/projects/rodent_addiction/walker/05_counts/HISAT2_featureCounts/genes/walker_SRS2926558_S30sal_hisat2_featurecounts_genes_s2.txt" "/data/CEM/wilsonlab/projects/rodent_addiction/walker/04_processing/HISAT2/sorted_bams/walker_SRS2926558_S30sal_hisat2_trim_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/CEM/wilsonlab/projects/rodent_addiction/walker/04_processing/HISAT2/sorted_bams/walker_SRS2926558_S30sal_hisat2_trim_sort.bam
ENSMUSG00000073643	1	79679979	79753860	-	73882	607
ENSMUSG00000104497	1	79740434	79742224	+	1791	0
ENSMUSG00000025916	1	10038849	10079361	-	40513	16
ENSMUSG00000087199	1	10052612	10062591	+	9980	0
ENSMUSG00000026248	1	79753735	79759162	+	5428	507
ENSMUSG00000119658	1	10080039	10080142	-	104	1
ENSMUSG00000026249	1	79771914	79838897	-	66984	4841
ENSMUSG00000042751	1	152830744	152995007	+	164264	2628
ENSMUSG00000067106	1	79900253	79901143	-	891	1
ENSMUSG00000099969	1	152942227	152965253	-	23027	0
ENSMUSG00000100397	1	79935297	79935774	+	478	0
ENSMUSG00000099753	1	80076339	80076602	+	264	0
ENSMUSG00000118883	1	80113183	80113289	+	107	0
ENSMUSG00000102518	1	80124690	80126518	-	1829	0
ENSMUSG00000099552	1	80162436	80169790	+	7355	0
ENSMUSG00000043230	1	80176423	80196190	-	19768	0
ENSMUSG00000101257	1	80202761	80206509	+	3749	0
ENSMUSG00000103404	1	80232748	80233914	-	1167	0
ENSMUSG00000026491	1	179572459	179631245	-	58787	2238
ENSMUSG00000073486	1	179630941	179632241	+	1301	0
ENSMUSG00000025917	1	10094826	10108393	-	13568	1224
ENSMUSG00000104418	1	179752517	179752976	-	460	0
ENSMUSG00000026479	1	152998502	153062193	-	63692	102
ENSMUSG00000004364	1	80242640	80318197	-	75558	2420
ENSMUSG00000103076	1	80252448	80254130	-	1683	0
ENSMUSG00000103525	1	80303894	80305711	-	1818	0
ENSMUSG00000101722	1	80360539	80363968	+	3430	0
ENSMUSG00000090637	1	80360821	80362902	-	2082	0
ENSMUSG00000026478	1	153094668	153208532	-	113865	858
ENSMUSG00000101483	1	80423649	80457584	+	33936	1
ENSMUSG00000110100	1	80427314	80439165	-	11852	0
ENSMUSG00000103818	1	153159596	153162936	-	3341	0
ENSMUSG00000079138	1	153181178	153182224	+	1047	0
ENSMUSG00000073538	1	153280573	153289979	-	9407	21
ENSMUSG00000042708	1	153300908	153328320	+	27413	313
ENSMUSG00000064435	1	153315825	153315964	+	140	0
ENSMUSG00000103543	1	153319227	153320046	+	820	0
ENSMUSG00000099432	1	46095470	46098146	+	2677	0
ENSMUSG00000041144	1	46105475	46412710	+	307236	72
ENSMUSG00000119743	1	46413357	46413475	+	119	0
ENSMUSG00000042699	1	153331504	153363406	-	31903	3459
ENSMUSG00000101262	1	46453662	46456092	+	2431	3
ENSMUSG00000042684	1	153378761	153425791	-	47031	185
ENSMUSG00000099858	1	153495350	153496419	-	1070	2
ENSMUSG00000101337	1	46464752	46846636	+	381885	15
ENSMUSG00000025986	1	46846704	46932012	-	85309	2944
ENSMUSG00000100213	1	46888689	46889639	-	951	0
ENSMUSG00000103129	1	46916363	46920232	-	3870	0
ENSMUSG00000100160	1	46935743	46936039	-	297	1
ENSMUSG00000101921	1	47106948	47107185	+	238	0
ENSMUSG00000101447	1	47192621	47228231	+	35611	0
ENSMUSG00000081185	1	47404803	47405531	-	729	1
ENSMUSG00000103246	1	47472983	47474924	-	1942	0
ENSMUSG00000098876	1	47506180	47506284	-	105	0
ENSMUSG00000100530	1	47518027	47519357	+	1331	0
ENSMUSG00000104067	1	47645155	47646060	+	906	0
ENSMUSG00000100033	1	47696852	47698789	+	1938	0
ENSMUSG00002075213	1	47788438	47788558	-	121	0
ENSMUSG00002076633	1	47790458	47790727	-	270	0
ENSMUSG00000101996	1	47954148	47954974	-	827	0
ENSMUSG00000096973	1	48353025	48354010	-	986	0
ENSMUSG00000064943	1	48501332	48501452	-	121	0
ENSMUSG00000100866	1	48566798	48567010	+	213	0
ENSMUSG00000101721	1	48770738	48772249	-	1512	0
ENSMUSG00000099376	1	48822822	48823752	+	931	0
ENSMUSG00000097883	1	48920872	48921882	+	1011	0
ENSMUSG00002076043	1	49134603	49135044	+	442	0
ENSMUSG00000099698	1	49212319	49212533	-	215	0
ENSMUSG00000056763	1	10108212	10206993	+	98782	1207
ENSMUSG00000099454	1	49275411	49276403	+	993	0
ENSMUSG00000051616	1	49283775	49379602	+	95828	1
ENSMUSG00000099627	1	49438183	49439888	-	1706	0
ENSMUSG00000099577	1	49537712	49538151	+	440	0
ENSMUSG00000099882	1	49618309	49618745	-	437	0
ENSMUSG00000101760	1	50095941	50097649	+	1709	0
ENSMUSG00000102356	1	10127250	10128169	-	920	0
ENSMUSG00000099608	1	50146629	50148121	+	1493	0
ENSMUSG00000099864	1	50216725	50217450	-	726	0
ENSMUSG00002075839	1	50261548	50261679	-	132	0
ENSMUSG00000100451	1	50436711	50437238	-	528	0
ENSMUSG00000099941	1	50572189	50572350	+	162	0
ENSMUSG00002075589	1	50598921	50599234	+	314	0
ENSMUSG00000100816	1	50854534	50856860	+	2327	0
ENSMUSG00000042671	1	153528771	153576069	+	47299	6509
ENSMUSG00000100945	1	153566137	153568402	-	2266	0
ENSMUSG00000102404	1	153590400	153592315	+	1916	0
ENSMUSG00000100334	1	153596986	153613575	-	16590	3
ENSMUSG00000026109	1	50939806	51226429	+	286624	1442
ENSMUSG00000026475	1	153616095	153621214	+	5120	247
ENSMUSG00000099568	1	153619298	153625070	-	5773	1
ENSMUSG00000100671	1	50943603	50945077	+	1475	0
ENSMUSG00002075527	1	51054472	51054572	+	101	0
ENSMUSG00000101242	1	51177440	51180381	-	2942	0
ENSMUSG00000099924	1	51187468	51189740	+	2273	0
ENSMUSG00000099625	1	51234380	51236907	+	2528	5
ENSMUSG00000101799	1	51257545	51372938	-	115394	5
ENSMUSG00000045954	1	51328285	51342119	+	13835	198
ENSMUSG00000099741	1	51356687	51357711	-	1025	0
ENSMUSG00000101702	1	51497091	51498090	-	1000	0
ENSMUSG00000066800	1	153625172	153639967	+	14796	163
ENSMUSG00000100183	1	153626428	153627293	+	866	0
ENSMUSG00000067851	1	10207796	10302895	-	95100	2369
ENSMUSG00002076532	1	10236764	10237003	+	240	0
ENSMUSG00000102556	1	10267306	10269027	-	1722	0
ENSMUSG00000038608	1	80478790	80736244	-	257455	3431
ENSMUSG00000042501	1	10394945	10790170	-	395226	2
ENSMUSG00000103810	1	10519470	10522214	-	2745	0
ENSMUSG00000083422	1	10624323	10625778	-	1456	0
ENSMUSG00000119312	1	10625779	10625885	-	107	0
ENSMUSG00000042641	1	153655127	153719888	-	64762	109
ENSMUSG00000081417	1	10765348	10765839	+	492	0
ENSMUSG00000103448	1	10852681	10854602	-	1922	0
ENSMUSG00000103192	1	80643726	80647281	-	3556	0
ENSMUSG00000104488	1	80706526	80708381	-	1856	0
ENSMUSG00000100212	1	10875505	10876746	+	1242	0
ENSMUSG00000102721	1	80724939	80726771	-	1833	0
ENSMUSG00000100648	1	10938912	10939670	+	759	0
ENSMUSG00002076499	1	10991894	10991984	+	91	0
ENSMUSG00000099949	1	80875371	80875822	-	452	0
ENSMUSG00000099918	1	80927143	80927614	+	472	0
ENSMUSG00000045968	1	153725288	153775974	-	50687	97
ENSMUSG00000043282	1	153750091	153752617	+	2527	1
ENSMUSG00000102459	1	153765487	153768043	-	2557	0
ENSMUSG00000047053	1	153767488	153768804	+	1317	0
ENSMUSG00000099227	1	153775672	153775782	+	111	1
ENSMUSG00000026107	1	51505021	51517584	-	12564	174
ENSMUSG00000099413	1	51546245	51635877	-	89633	6
ENSMUSG00000103424	1	51566164	51568528	-	2365	0
ENSMUSG00000101741	1	51735483	51786102	-	50620	3
ENSMUSG00000054976	1	81054667	81319479	+	264813	799
ENSMUSG00000104029	1	81498053	81500056	-	2004	0
ENSMUSG00000101986	1	81531872	81535198	-	3327	0
ENSMUSG00000087008	1	81719700	81720684	-	985	0
ENSMUSG00000100561	1	81774956	81775661	+	706	0
ENSMUSG00000103571	1	82082901	82084704	+	1804	0
ENSMUSG00000098797	1	82109637	82109740	+	104	0
ENSMUSG00000026473	1	153775690	153785469	+	9780	24071
ENSMUSG00000100014	1	153814972	153817036	+	2065	3
ENSMUSG00000101903	1	153879142	153881967	-	2826	0
ENSMUSG00000055980	1	82210822	82269137	-	58316	170
ENSMUSG00000100502	1	153903109	153910047	-	6939	7
ENSMUSG00000022591	1	82210833	82213654	+	2822	0
ENSMUSG00000100627	1	153913343	153993697	-	80355	18
ENSMUSG00000088669	1	153955841	153955945	-	105	0
ENSMUSG00000066797	1	154076933	154081435	+	4503	1
ENSMUSG00000048960	1	11063689	11373905	+	310217	1241
ENSMUSG00000099933	1	154117267	154132652	-	15386	2
ENSMUSG00000100221	1	154131435	154146162	+	14728	0
ENSMUSG00002076439	1	154187154	154187273	-	120	0
ENSMUSG00000100031	1	154198802	154199354	-	553	0
ENSMUSG00000077318	1	11204335	11204462	-	128	0
ENSMUSG00000101827	1	11293790	11294398	-	609	0
ENSMUSG00000103494	1	11434150	11437188	-	3039	0
ENSMUSG00000026142	1	82294173	82423087	+	128915	140
ENSMUSG00000104493	1	82329938	82332770	+	2833	0
ENSMUSG00000100786	1	82370214	82380467	-	10254	0
ENSMUSG00002075724	1	82374418	82374538	-	121	0
ENSMUSG00000067158	1	82426144	82564570	-	138427	15
ENSMUSG00000079465	1	82564642	82699780	+	135139	5
