mirnaid,refseqid,genesymbol,duplex,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
rno-miR-9a-5p,NM_030828,Gpc1,...((((((((((((((((((((&))))))))))..))))...)))))).,1590,1616,0.9230769230769231,-21.8,1,0.0166304,0.471,2.01335596,1.8237280988375002,-6.514540193678739,20,26,10,CDS,,0,0
rno-miR-9a-5p,NM_030828,Gpc1,....(((((.(((((((.(((..&))).)))))))))))).,467,484,0.8846153846153846,-17.2,1,0.001442381,0.324,1.657582142857143,1.2503131974999997,-10.789068936966107,15,17,12,CDS,,0,0
rno-miR-9a-5p,NM_030829,Grk5,(((((((((((((((((((((((&)))))))))).)))).......))))..))))).,1052,1086,0.8461538461538461,-19.2,1,0.0005179983,0.544,1.7696836030303031,1.8331337925000004,-3.937574446201665,23,34,10,CDS,,0,0
rno-miR-9a-5p,NM_030829,Grk5,(((((((((.((((((.......&))))))))))))))).,1385,1401,0.9230769230769231,-16.9,1,0.0006830209,0.412,1.4506934444444446,1.6866546957499997,-5.180080914529843,15,16,15,CDS,,0,0
rno-miR-9a-5p,NM_030829,Grk5,((((((((.....(((.(((((.&))))).))).)))))))).,1445,1464,0.8461538461538461,-16.9,1,0.01949736,0.412,1.514091625,1.451503115,-13.697178970448556,16,19,8,CDS,,0,0
rno-miR-9a-5p,NM_030835,Serp1,.....(((..(((((((((((((&))))))))))))).))).,967,985,0.8461538461538461,-15.6,1,0.0437424,0.676,0.6597394461538462,0.54708037,-15.964495770024342,16,18,13,3UTR,,0,0
rno-miR-9a-5p,NM_030841,Nptxr,..(((((((.(((((((((....&)))))))))))))))).,2203,2220,0.9230769230769231,-20.5,1,7.185328e-05,0.397,0.3413413333333334,-0.09224974625000001,-6.199507187700468,16,17,16,3UTR,,0,0
rno-miR-9a-5p,NM_030841,Nptxr,(((((((((((.(((((((....&)))))))...))))))))))).,4298,4320,0.8461538461538461,-19.0,1,0.008241017,0.485,0.9799948727272728,1.3461298024999997,-7.284377755798021,18,22,11,3UTR,,0,0
rno-miR-9a-5p,NM_030841,Nptxr,(((..(((((((((((((.....&)))))))))))))..))).,3802,3821,0.9230769230769231,-18.7,1,0.004648968,0.485,1.9338589230769228,1.14317509,-11.088633895973327,16,19,13,3UTR,,0,0
rno-miR-9a-5p,NM_030843,Stxbp5,.((((((((.((((((((((((.&))))))))).................))).)))))))).,2364,2403,0.9230769230769231,-19.4,1,0.0001372618,0.471,2.1552444517241374,2.3920698887499996,-5.035831305685297,20,39,9,CDS,,0,0
rno-miR-9a-5p,NM_030843,Stxbp5,...(((((.((((.(((((....&))))))))).))))).,2239,2255,0.8461538461538461,-16.6,1,0.0006055207,0.412,2.5446,2.2120250000000006,-8.427769769444907,14,16,9,CDS,,0,0
rno-miR-9a-5p,NM_030850,Bhmt,(((((((((.(((((((((....&.))).)))))).))))))))).,290,332,0.9230769230769231,-21.8,1,0.01184549,0.5,-0.06649524000000002,-0.1208148225,-5.180080914529843,18,22,9,CDS,,0,0
rno-miR-9a-5p,NM_030851,Bdkrb1,.....((((((((((((((....&))))))))))..)))).,91,108,1.0,-18.8,1,0.0002223025,0.515,0.10619726249999997,0.10718273999999997,-13.6655996434504,14,17,10,5UTR,,0,0
rno-miR-9a-5p,NM_030851,Bdkrb1,(((((((((((((((....((((&))))))))))))))))))).,647,667,0.8461538461538461,-18.8,1,1.338517e-05,0.397,0.9477754066666668,0.4659110062499999,-4.1706235265052785,19,20,19,CDS,,0,0
rno-miR-9a-5p,NM_030852,Mia,..((((((((.(((((((((((.&)))))...)))))).)))))))).,86,110,0.9230769230769231,-21.0,1,0.0001834873,0.397,0.20243201214285714,0.172177443,-7.7817751947826395,19,24,8,CDS,,0,0
rno-miR-9a-5p,NM_030853,Lat,.(((((((((.((((((((((((&))))))))))))))))))))).,35,57,0.9230769230769231,-24.7,1,7.420677e-10,0.309,0.16271441666666664,0.3803028389999999,-6.618099312767468,21,22,21,5UTR,,0,0
rno-miR-9a-5p,NM_030857,Lyn,((((((((.((((((((((((..&)))))))))........))).)))))))).,1136,1166,0.9230769230769231,-20.7,1,0.001165132,0.471,1.7917571850000003,2.0142487557500006,-4.993964104447428,20,30,9,CDS,,0,0
rno-miR-9a-5p,NM_030857,Lyn,(((((((((.((((((((.....&)))))))).))))))))).,3046,3065,0.8461538461538461,-18.2,1,0.001154959,0.397,-0.19274011111111114,0.09000520400000003,-5.180080914529843,17,19,9,3UTR,,0,0
rno-miR-9a-5p,NM_030858,Smad7,(((((((((.(((..((((....&))))..)))..))))))))).,409,430,1.0,-18.8,1,0.09844559,0.441,0.808506777777778,0.7421173912499999,-6.7723703923008856,16,21,9,5UTR,,0,0
rno-miR-9a-5p,NM_030860,Mef2d,(((..((.(((((((((((((..&))))))))))))))).))).,1948,1968,0.8461538461538461,-19.6,1,0.0008803971,0.471,1.4495565384615383,0.9767819787499998,-13.402268825153957,18,20,15,CDS,,0,0
rno-miR-9a-5p,NM_030861,Mgat1,(((((((((..(((.((((....&)))).)))..))))))))).,2423,2443,0.8461538461538461,-18.5,1,0.0003120708,0.485,-0.03706597777777781,0.21639105624999996,-8.74030495019083,16,20,9,3UTR,,0,0
rno-miR-9a-5p,NM_030865,Myoc,(((((((((.((((((((.....&))))))))......))))))))).,461,485,0.8999999999999999,-19.4,1,0.01761953,0.441,0.050789877777777756,0.6942537025,-5.180080914529843,17,24,9,CDS,,0,0
rno-miR-9a-5p,NM_030867,Nfkbib,..(((((((.((((((((((...&))))))))))))))))).,851,869,0.8717948717948717,-19.7,1,0.0001001047,0.5,1.2413745999999999,0.7768462650000001,-6.199507187700468,17,18,17,CDS,,0,0
rno-miR-9a-5p,NM_030869,Nrp2,(((((.((((((((((((((...&)))))))....)))))))))))).,2165,2189,0.8461538461538461,-19.4,1,0.001409136,0.559,1.0019417222222222,1.242242021875,-5.838533207394711,19,24,12,CDS,,0,0
rno-miR-9a-5p,NM_030871,Pde1a,..((((((((((.(((((((((.&)))))))))))))..)).)))).,742,765,0.8461538461538461,-18.2,1,0.007294329,0.618,2.1543693846153844,1.8728355424999998,-6.246131332038532,19,23,13,CDS,,0,0
rno-miR-9a-5p,NM_030875,Scn1a,(((((((((.((((((.......&))))))..))))))))).,1591,1609,1.0,-17.4,1,0.002493078,0.382,0.6183861222222222,0.8274857575,-5.180080914529843,15,18,9,CDS,,0,0
rno-miR-9a-5p,NM_030985,Agtr1a,..((((((..(((((((.((((.&)))).)))))))....)))))).,839,862,0.9230769230769231,-20.0,1,0.0003997861,0.485,0.9878350285714286,0.36356348574999997,-7.255896845946231,17,23,7,CDS,,0,0
rno-miR-9a-5p,NM_030988,Tg,((((((((..(((((((((....&.)))).))))).)))))))).,3305,3332,0.8461538461538461,-20.5,1,0.00289265,0.515,0.9946354000000002,0.49222813000000004,-6.236470572775607,17,21,8,CDS,,0,0
rno-miR-9a-5p,NM_030988,Tg,((((((((..((((.((((((..&)))))).)))))))))))).,8222,8242,0.9230769230769231,-19.4,1,0.005590639,0.5,0.09900398124999998,0.648709088625,-6.971920133026242,18,20,12,CDS,,0,0
rno-miR-9a-5p,NM_030989,Tp53,..(((((((.((((((((.....&))))))...)).))))))).,1222,1242,0.8461538461538461,-15.2,1,0.1122913,0.441,0.7442448545454545,0.5601794210000002,-6.199507187700468,15,20,7,CDS,,0,0
rno-miR-9a-5p,NM_030990,Plp1,(((((((((((((.(((((((((&)))..))))))))))))))))))).,1999,2024,0.8461538461538461,-21.5,1,0.0004921199,0.647,0.3251831538461538,0.8546852732499999,-4.794414363722071,22,25,19,3UTR,,0,0
rno-miR-9a-5p,NM_030990,Plp1,((((((((..((((((((.(((.&)))))))))))....)))))))).,1837,1861,0.8461538461538461,-18.8,1,0.0001413647,0.5,0.47494919999999996,0.37076254037499995,-6.236470572775607,19,24,11,3UTR,,0,0
rno-miR-9a-5p,NM_030993,Ddn,..((((((((((((((((.....&)))))))..))))))))).,1160,1179,1.0,-16.9,1,0.001036799,0.397,0.13522375,0.09985238625000002,-4.95700071937229,16,19,9,CDS,,0,0
rno-miR-9a-5p,NM_030993,Ddn,.(((((((...((((((.(....&).))))))))))))).,895,911,0.9230769230769231,-16.7,1,0.0001359766,0.441,0.08462085714285714,-0.08798603000000003,-8.91699543934141,14,16,13,CDS,,0,0
rno-miR-9a-5p,NM_030994,Itga1,..((((((((.((..((((((((&))))))))..)).)))))))).,1611,1633,0.9230769230769231,-21.2,1,0.0004195193,0.515,1.6366806249999997,2.0620369475,-9.374064672553681,18,22,8,CDS,,0,0
rno-miR-9a-5p,NM_030995,Map1a,(((((((((((((((((.((((.&))))))))))))))))))))).,5482,5504,0.9230769230769231,-28.9,1,0.0003032511,0.412,0.815819854117647,0.8800160755000002,-3.937574446201665,21,22,21,CDS,,0,0
rno-miR-9a-5p,NM_030996,Sigmar1,((((((.((.((((((((.....&.)))))))).)).)))))).,1280,1314,1.0,-19.5,1,0.000208798,0.441,2.255715875,1.6182039375000001,-6.723767449401163,16,20,8,3UTR,,0,0
rno-miR-9a-5p,NM_030997,Vgf,(((((((((((((.(((.((((.&.))))...)))))))))))))))).,424,458,0.8461538461538461,-19.4,1,2.964492e-07,0.382,0.3389612,0.4860903086249999,-4.794414363722071,20,25,16,CDS,,0,0
rno-miR-9a-5p,NM_030999,Crhr1,(((((..((((((((((...(((&)))..))))))))))..))))).,2310,2333,0.8076923076923077,-17.2,1,0.0209848,0.441,-0.18726590499999998,-0.010029308124999976,-7.382219742266031,18,23,10,3UTR,,0,0
rno-miR-9a-5p,NM_031000,Akr1a1,(((..(((..((((((((((.((&))))))))))))..))).))).,355,377,0.8461538461538461,-17.5,1,0.0001450171,0.5,1.1580357000000001,1.6694916237500004,-13.38753002254727,18,22,12,CDS,,0,0
rno-miR-9a-5p,NM_031002,Inpp4a,((((((((((((((.(((.....&))).).))))))))))))).,238,258,0.9230769230769231,-20.8,1,2.67354e-05,0.485,0.8140148666666666,1.0131319015,-4.6730240064523,17,20,13,5UTR,,0,0
rno-miR-9a-5p,NM_031003,Abat,.((((((((((((((((.(....&.).)))))))............))))))))).,655,707,0.8076923076923077,-18.6,1,0.0009779515,0.471,1.8304496428571428,1.81586940125,-3.793324837357118,17,32,9,CDS,,0,0
rno-miR-9a-5p,NM_031006,Adar,(((((((..((((((((((....&))))))))))..).)))))).,2256,2277,0.8461538461538461,-18.8,1,0.001459033,0.412,1.1503518199999998,1.3597037702499999,-7.307599033628058,17,21,10,CDS,,0,0
rno-miR-9a-5p,NM_031006,Adar,(((((((((.(((.(((((....&)))))..)))..))))))))).,3204,3226,0.8461538461538461,-17.9,1,0.01339263,0.5,2.114054,1.44383411625,-6.03692083205025,17,22,9,CDS,,0,0
rno-miR-9a-5p,NM_031009,Agtr1b,(((((((((.(((.(((((....&))))))))))))))))).,1280,1298,1.0,-20.1,1,0.001929401,0.5,1.746546111111111,1.5840054574999995,-6.03692083205025,17,18,17,3UTR,,0,0
rno-miR-9a-5p,NM_031010,Alox15,((((((((....((((((((((.&))))))))))............)))))))).,1688,1719,0.9230769230769231,-20.2,1,0.02875651,0.412,-0.17109520000000006,-0.08460272624999997,-12.408048357782313,18,31,10,CDS,,0,0
rno-miR-9a-5p,NM_031012,Anpep,..(((((((.(((((((((((((&))).))).)))))))))))))).,1809,1832,0.8461538461538461,-18.8,1,0.004292821,0.544,1.2998482466666665,1.4041742175,-6.199507187700468,20,23,14,CDS,,0,0
rno-miR-9a-5p,NM_031012,Anpep,(((((((...(((((((((....&))))))))).....))))))).,2763,2785,0.9230769230769231,-18.6,1,5.93589e-05,0.426,1.0997416,1.2500996925,-8.550105501956237,16,22,9,CDS,,0,0
rno-miR-9a-5p,NM_031013,Abcc6,((((((((..((((((((.....&.))))))))...)))))))).,4609,4647,0.8461538461538461,-21.8,1,0.0007448966,0.426,0.878895905,0.7620167662500001,-6.236470572775607,16,21,8,3UTR,,0,0
rno-miR-9a-5p,NM_031013,Abcc6,(((.((((((((..(((((....&.)))))..)))))))).))).,3729,3770,0.8461538461538461,-20.0,1,7.295316e-05,0.426,0.9014332875,1.2645611362500002,-9.115567251347505,16,21,8,CDS,,0,0
rno-miR-9a-5p,NM_031014,Atic,(((((((((((((.(((......&.)))..))))))))))))).,2074,2106,0.9230769230769231,-19.6,1,0.0001119024,0.5,0.09417652307692308,-0.14496053475000004,-4.794414363722071,16,20,13,3UTR,,0,0
rno-miR-9a-5p,NM_031014,Atic,.((((.((((.((((((((....&)))))))))))))))).,802,819,0.8205128205128206,-17.1,1,0.0002476134,0.441,2.561201875,1.7504291500000004,-8.519058073960514,16,17,16,CDS,,0,0
rno-miR-9a-5p,NM_031015,Opn1sw,..((((((..(((.(((((....&)))))))).)))))).,1429,1445,0.8461538461538461,-14.9,1,0.05039411,0.485,0.3816479,1.2397782666249997,-8.112736763466637,14,16,8,3UTR,,0,0
rno-miR-9a-5p,NM_031016,Chrm2,((((.(((((((((((((.((((&)))))))))............................)))))))).)))).,1312,1363,0.9230769230769231,-19.6,1,0.05198765,0.529,2.5145705073170737,2.004614804125,-8.056611621014136,21,51,9,CDS,,0,0
rno-miR-9a-5p,NM_031017,Creb1,(((.(((((((((((........&.))))))))))).))).,29,51,1.0,-18.8,1,0.006450967,0.456,2.4139389999999996,1.9699103200000003,-7.202645801464468,14,17,11,5UTR,,0,0
rno-miR-9a-5p,NM_031020,Mapk14,((.(((((((((((((.((....&.)).))))))))))))).)).,1980,2015,0.9230769230769231,-19.0,1,2.16921e-05,0.397,0.4335870769230769,0.15811864124999997,-5.495113920508112,17,21,13,3UTR,,0,0
rno-miR-9a-5p,NM_031025,Dlat,(((((((((((((.((((((((.&))))))))..))))...............))))))))).,412,451,0.8461538461538461,-17.8,1,0.001563659,0.574,0.20908890357142856,0.39230241374999997,-4.794414363722071,21,39,9,CDS,,0,0
rno-miR-9a-5p,NM_031026,Dync1li2,..((((((...(((((((.....&)))))))...)))))).,1161,1178,0.8461538461538461,-17.4,1,0.00495445,0.397,1.272719457142857,1.4253437137499998,-10.080671321356581,13,17,7,CDS,,0,0
rno-miR-9a-5p,NM_031026,Dync1li2,..((((.((((((((((((....&))))))..)))))).)))).,1067,1087,0.8461538461538461,-17.3,1,0.0003198752,0.485,1.8705290571428572,1.76950626125,-6.5006872542436085,16,20,6,CDS,,0,0
rno-miR-9a-5p,NM_031028,Gabbr1,((((((((((((((((.((.(((&))))))))))))))))..))))).,1166,1190,1.0,-21.1,1,0.001824877,0.426,0.15872334444444444,0.006887928749999977,-3.937574446201665,21,24,16,CDS,,0,0
rno-miR-9a-5p,NM_031029,Gabrp,(((((((((((((.((((((.((&.))..)))))))))))))...)))))).,1025,1062,1.0,-20.0,1,0.006286044,0.485,1.52281991625,1.7135571282500002,-4.794414363722071,21,28,13,CDS,,0,0
rno-miR-9a-5p,NM_031029,Gabrp,(((((((((.((((((((((...&)))))))))).))))))))).,571,592,0.9230769230769231,-17.9,1,0.002670083,0.471,1.49142166,1.80800259,-5.180080914529843,19,21,10,CDS,,0,0
rno-miR-9a-5p,NM_031030,Gak,(((..(((..((((((((((...&))))))))))..))).))).,713,733,0.8461538461538461,-20.2,1,4.169954e-05,0.456,2.24399179,1.7903575012500001,-13.38753002254727,16,20,10,CDS,,0,0
rno-miR-9a-5p,NM_031030,Gak,((((((((((.((.(((((((..&))))))).))...)))))))))).,227,251,0.8205128205128205,-20.3,1,0.000177821,0.397,1.605287,1.8897627997000006,-7.619188839132421,19,24,10,CDS,,0,0
rno-miR-9a-5p,NM_031030,Gak,..(((((((..((((((((....&))))))))))))))).,2654,2670,1.0,-19.1,1,0.0003557284,0.5,-0.12893253750000003,0.03943003375000006,-9.02428166311082,15,16,15,CDS,,0,0
rno-miR-9a-5p,NM_031030,Gak,(((((((((((..(((.(((...&))).)))..))))))))))).,639,660,1.0,-18.9,1,0.0001399463,0.544,2.1524139090909093,1.7458308524999997,-8.573508368464264,17,21,11,CDS,,0,0
rno-miR-9a-5p,NM_031032,Gmfb,(((((((((((.(((((.(((((&)))))))))).))))))))))).,1154,1177,0.9230769230769231,-18.4,1,0.005358336,0.515,1.7802550272727269,1.86971185625,-7.284377755798021,21,23,11,3UTR,,0,0
rno-miR-9a-5p,NM_031034,Gna12,((((((.(((((((.((((....&)))).))))))).)))))).,3021,3041,0.8653846153846154,-21.0,1,6.321572e-06,0.368,-0.6846767142857143,-0.183399810625,-6.216710541323619,17,20,7,3UTR,,0,0
rno-miR-9a-5p,NM_031034,Gna12,((.(((((((((((((((.....&))))))))))).)))).)).,546,566,0.9230769230769231,-17.9,1,0.0001590153,0.471,2.0007825625,1.7201463262499996,-5.495113920508112,17,20,11,CDS,,0,0
rno-miR-9a-5p,NM_031036,Gnaq,(((((((((.(((.((((((((.&.)))))......))).))).))))))))).,16,51,0.8461538461538461,-19.3,1,0.0007570707,0.368,2.3368345555555554,2.0106214836538463,-6.03692083205025,20,30,9,CDS,,0,0
rno-miR-9a-5p,NM_031038,Gnrhr,((((((((((((((((.((((((&)))))).)))))))).............................)))))))).,367,420,0.8717948717948717,-21.0,1,5.474895e-06,0.544,1.6273383644444446,1.4923114050000001,-3.937574446201665,22,53,8,CDS,,0,0
rno-miR-9a-5p,NM_031038,Gnrhr,((((((((((.((..(((((...&)))))..)).)))))))))).,2506,2527,0.8461538461538461,-17.7,1,0.003460009,0.5,-0.063859915,-0.039146868625000004,-8.354638399383056,17,21,10,3UTR,,0,0
rno-miR-9a-5p,NM_031040,Grm7,..(((((...(((((((((.(((&))).)))))))))...))))).,1333,1355,0.9230769230769231,-21.1,1,0.00363263,0.515,2.538666666666667,1.4868000000000003,-9.569531775126862,17,22,9,CDS,,0,0
rno-miR-9a-5p,NM_031045,Itpka,((.((((((.((((((((((((.&)))))))))))))))))).)).,494,516,1.0,-26.4,1,2.808151e-06,0.382,1.2368331666666665,1.44404313625,-6.737620388836292,20,22,18,CDS,,0,0
rno-miR-9a-5p,NM_031049,Lss,((((((..((((((((((.....&.)))))))))))))))).,382,419,0.9230769230769231,-19.3,1,0.001707324,0.441,0.11193329999999999,-0.20055686125000005,-7.794895910253615,16,18,16,CDS,,0,0
rno-miR-9a-5p,NM_031049,Lss,...(((((((((.((((((....&))))))))))))))).,1013,1029,0.9230769230769231,-17.3,1,2.193396e-07,0.5,1.7943922555555558,1.4728432162499998,-7.803670806344982,15,16,15,CDS,,0,0
rno-miR-9a-5p,NM_031054,Mmp2,.((((((((.(((((((......&))))))).)))))))).,2212,2229,1.0,-18.0,1,9.856014e-05,0.588,1.886646375,2.0606615825,-5.035831305685297,15,17,8,CDS,,0,0
rno-miR-9a-5p,NM_031058,Msh2,((((((((..((..((((((((.&))).)))))...))..)))))))).,2402,2427,0.9230769230769231,-20.5,1,0.001788616,0.529,1.7736614444444445,1.6877087775000004,-8.382441102962257,18,25,8,CDS,,0,0
rno-miR-9a-5p,NM_031062,Mvd,(((((((((((((((((((((..&)))))))))........)))))))).)))).,1618,1649,0.9230769230769231,-20.0,1,0.002691215,0.471,0.093086775,0.8966618110661764,-3.937574446201665,21,31,9,3UTR,,0,0
rno-miR-9a-5p,NM_031062,Mvd,....((((...(((((((.((((&)))).)))))))...)))).,894,914,0.8461538461538461,-17.9,1,0.03136996,0.412,1.2318867142857144,1.39597395425,-14.67023307062222,15,20,7,CDS,,0,0
rno-miR-9a-5p,NM_031064,Ndufv2,.((((((((.((((((((.....&)))).))))..)))))))).,13,33,0.8461538461538461,-17.9,1,0.000920148,0.355,1.4902863333333332,0.6357449454166666,-5.035831305685297,16,20,8,5UTR,,0,0
rno-miR-9a-5p,NM_031066,Fez1,(((((((((((((((((((....&.))))))....))))))))))))).,623,667,1.0,-19.1,1,0.003810683,0.471,1.7177859391304349,1.9675757737499997,-3.937574446201665,19,25,13,CDS,,0,0
rno-miR-9a-5p,NM_031068,Actr3,(((((((((((...((((.....&.))))))))))))))).,1736,1770,0.8461538461538461,-17.0,1,0.003405735,0.574,2.048714247272727,2.2237484702499994,-9.430348285984671,15,17,15,3UTR,,0,0
rno-miR-9a-5p,NM_031069,Nell1,....(((((.(((.(((((((..&))))))))))))))).,334,350,0.8461538461538461,-17.3,1,0.02351391,0.456,1.0507672857142858,1.5651200112500003,-11.645908854486514,15,16,15,CDS,,0,1
rno-miR-9a-5p,NM_031070,Nell2,..((((((..(((((((((....&.)))))))))....)))))).,177,221,0.8461538461538461,-19.7,1,2.371239e-05,0.441,0.7761956666666666,0.9381950250000002,-7.255896845946231,15,21,9,CDS,,0,0
rno-miR-9a-5p,NM_031074,Nup98,((.(((((((((((((((..((.&))..)))))))))))..)))).)).,4037,4062,0.9230769230769231,-20.8,1,7.221753e-05,0.456,2.1630931176470587,1.801380533,-5.495113920508112,19,25,11,CDS,,0,0
rno-miR-9a-5p,NM_031074,Nup98,(((((.(((((((.(((((....&)))))))))))).))))).,105,124,0.8461538461538461,-20.1,1,0.0001233609,0.309,1.6924537142857141,0.8999768376250002,-6.695373124915117,17,19,12,5UTR,,0,0
rno-miR-9a-5p,NM_031074,Nup98,...(((((((.(((((((((((.&))))))))))).))))))).,4304,4324,0.8461538461538461,-17.5,1,3.593911e-06,0.412,1.926853727272727,1.3997768375000001,-9.33931466908909,18,20,11,CDS,,0,0
rno-miR-9a-5p,NM_031075,P2rx3,((((((((..(((((((((((((&)))))))))))))...))).......))))).,3022,3054,0.8461538461538461,-18.1,1,0.08318386,0.647,1.7693004615384615,1.360729235875,-6.236470572775607,21,32,13,3UTR,,0,0
rno-miR-9a-5p,NM_031075,P2rx3,.(((((.((((((((((((((..&)))))))))))))).))))).,2261,2282,0.8461538461538461,-17.4,1,0.01607962,0.515,0.5210959071428573,0.007580954999999993,-5.337011372228436,19,21,14,3UTR,,0,0
rno-miR-9a-5p,NM_031076,Pcm1,(((((((((((((.(((.((((.&)))).))).)))))))))).))).,313,337,1.0,-19.9,1,0.001169494,0.574,0.6548624071428572,0.926840843875,-4.794414363722071,20,24,10,CDS,,0,0
rno-miR-9a-5p,NM_031076,Pcm1,(((((((((((((.((((((((.&)))).))))))).)))...))))))).,3408,3435,0.8461538461538461,-17.1,1,0.03798829,0.588,1.9691935294117646,1.69422465125,-4.794414363722071,21,27,7,CDS,,0,0
rno-miR-9a-5p,NM_031082,Pggt1b,(((((((((.(((((((......&.))))))).))))))))).,1066,1104,1.0,-22.6,1,0.0001250173,0.515,2.4158432222222226,2.0232712225,-5.180080914529843,16,19,9,CDS,,0,0
rno-miR-9a-5p,NM_031083,Pi4kb,(((((((....((((((.((((.&))))..))))))))))))).,2967,2987,0.8461538461538461,-16.8,1,0.0001805122,0.471,0.08909892857142858,0.5697161637500001,-11.374879977366588,17,20,13,3UTR,,0,0
rno-miR-9a-5p,NM_031084,Pls3,...((((.((((((((((((((.&)))))....))))))))))))).,1429,1452,1.0,-19.4,1,0.001289331,0.588,2.1179861111111107,2.1957303875000003,-8.82817512285937,18,23,13,CDS,,0,0
rno-miR-9a-5p,NM_031084,Pls3,((((((((((((..((((((((.&))))))))...)))))))))).)).,1845,1870,1.0,-19.8,1,0.005375474,0.529,1.8041424230769232,1.82946576375,-6.083544976388314,20,25,10,CDS,,0,0
rno-miR-9a-5p,NM_031084,Pls3,(((.(.((((((((((...((((&)))))))))))))).).))).,262,283,0.9230769230769231,-17.7,1,0.004936704,0.662,1.6808526700000002,1.86836321375,-8.870555482353902,18,21,14,CDS,,0,0
rno-miR-9a-5p,NM_031090,Rab1a,((((((....(((((((((....&.)))))))))....)))))).,707,737,0.9230769230769231,-20.8,1,0.0003087648,0.441,2.2893213333333335,2.4432566787499987,-10.093792036827557,15,21,9,CDS,,0,0
rno-miR-9a-5p,NM_031091,Rab3b,((((((((((((.((((((....&))))))))))..)))))))).,1107,1128,0.8461538461538461,-16.8,1,0.03237746,0.676,0.7949862214285714,0.05433894875,-5.226705058867908,18,21,10,3UTR,,0,0
rno-miR-9a-5p,NM_031094,Rbl2,.((((((((((.(((((((((..&.))))))))))))))))))).,3439,3465,0.8461538461538461,-19.4,1,0.008801952,0.515,1.6961707999999998,1.4227179025,-7.140128146953473,19,21,19,CDS,,0,0
rno-miR-9a-5p,NM_031094,Rbl2,....((((((((((((((((((.&)))))))))))))..))))).,3979,4000,0.8461538461538461,-18.5,1,0.001619787,0.515,1.7279113849999999,1.5855762637499997,-9.546562468637928,18,21,13,3UTR,,0,0
rno-miR-9a-5p,NM_031094,Rbl2,.(((((((..(((.(((((....&))))))))))))))).,2498,2514,0.9230769230769231,-16.6,1,0.05280833,0.456,1.1096543,1.84026224375,-6.949060881451466,15,16,15,CDS,,0,0
rno-miR-9a-5p,NM_031097,Rnpep,..((((((((((((((((((...&)))))))).))))..)))))).,1716,1738,0.9230769230769231,-18.8,1,0.0006539051,0.544,1.5376860285714282,1.2114775,-4.95700071937229,18,22,8,CDS,,0,0
rno-miR-9a-5p,NM_031098,Rock1,(((..(.(((((((((.(((((.&))))).))))))))).)..))).,717,740,0.9230769230769231,-20.0,1,0.002394434,0.559,2.030060222222222,2.2947014450000003,-12.632320430844647,18,23,9,CDS,,0,0
